title,category,tags,rating
451 Fahrenheit,Dystopian,"censorship, classic, sci-fi, future",9.1
A Court of Mist and Fury,Fantasy Romance,"fae, magic, romance, adventure",9.4
And Then There Were None,Mystery,"detective, thriller, isolation, classic",9.3
Atomic Habits,Self-Help,"productivity, psychology, habits, growth",9.2
Bible,Religious Text,"spirituality, history, faith, ancient",8.5
Catcher in the Rye,Classic Literature,"youth, alienation, rebellion, american",7.9
Cosmos,Science,"astronomy, physics, philosophy, space",9.6
Fourth Wing,Fantasy Romance,"dragons, war, magic, academy",9.1
Good Vibes Good Life,Self-Help,"wellness, positivity, mindset",7.8
Harry Potter (8),Fantasy,"magic, wizards, coming-of-age, adventure",9.0
Heated Rivalry,Romance,"sports, rivals-to-lovers, hockey, lgbtq+",9.2
His Honey,Romance,"contemporary, sweet, relationship",7.5
Howl's Moving Castle,Fantasy,"magic, whimsy, adventure, studio-ghibli",9.3
Human Acts,Historical Fiction,"korean, tragedy, political, uprising",9.0
Icebreaker,Romance,"sports, college, figure-skating, hockey",8.2
Ikigai,Self-Help,"wellness, japanese, longevity, purpose",8.4
Iron Flame,Fantasy Romance,"dragons, war, rebellion, magic",8.8
Klara and the Sun,Science Fiction,"ai, robots, dystopian, loneliness",8.6
Life of Pi,Fiction,"adventure, survival, spirituality, ocean",8.9
Little Prince,Classic Literature,"philosophy, fable, childhood, french",9.7
Man’s Search for Meaning,Psychology,"holocaust, survival, philosophy, purpose",9.8
Mockingjay,Dystopian,"revolution, war, rebellion, young-adult",8.3
Norwegian Wood,Literary Fiction,"romance, nostalgia, melancholy, japanese",8.7
On Earth We’re Briefly Gorgeous,Contemporary Fiction,"poetry, family, lgbtq+, immigrant",8.9
Onyx Storm,Fantasy Romance,"dragons, empyrean, adventure, magic",9.0
Physics (Serway & Jewett),Academic,"science, textbook, mechanics, engineering",8.5
Project Hail Mary,Science Fiction,"space, science, problem-solving, aliens",9.5
Red White & Royal Blue,Romance,"politics, lgbtq+, royal, contemporary",8.9
Sapiens,Non-Fiction,"history, anthropology, evolution, human",9.2
Steal Like an Artist,Self-Help,"creativity, art, inspiration, productivity",8.6
The Alchemist,Fantasy/Fable,"journey, spiritual, destiny, adventure",8.8
The Book Thief,Historical Fiction,"wwii, narrator-death, german, survival",9.4
The Boy the Mole the Fox and the Horse,Graphic Novel,"kindness, philosophy, art, friendship",9.5
The Cat Who Saved Books,Fantasy,"japanese, books, magic, heartwarming",8.3
The Forest,Fiction,"nature, mystery, atmosphere",7.9
The Giving Tree,Children's Literature,"classic, sacrifice, nature, fable",9.0
The Great Gatsby,Classic Literature,"1920s, tragedy, american-dream",9.2
The Housemaid,Thriller,"mystery, suspense, twist, domestic",8.5
The Let Them Theory,Self-Help,"mindset, psychology, relationships",8.1
The Man Called Ove,Contemporary Fiction,"swedish, heartwarming, elderly, life",9.3
The Martian,Science Fiction,"survival, space, science, mars",9.4
The Metamorphosis,Classic Literature,"absurdist, surreal, existential, kafka",8.8
The Midnight Library,Fantasy/Fiction,"regret, life-choices, philosophy, mental-health",8.2
The Mountain Is You,Self-Help,"self-sabotage, growth, healing",8.4
The Old Man and the Sea,Classic Literature,"nature, struggle, fishing, survival",8.6
The Prophet,Poetry,"philosophy, spiritual, wisdom, classic",9.1
The Stranger,Classic Literature,"existentialism, absurdist, french, philosophical",8.7
The Things You Can See Only When You Slow Down,Self-Help,"mindfulness, spiritual, korean, peace",8.9
The Vegetarian,Literary Fiction,"korean, psychological, body, protest",8.1
Watership Down,Fantasy,"animals, adventure, epic, classic",9.2
When Breath Becomes Air,Memoir,"medicine, mortality, cancer, philosophy",9.6
White Nights,Classic Literature,"romance, dostoevsky, russian, loneliness",8.9
Yellowface,Thriller/Fiction,"satire, publishing, racism, drama",8.6
